Peak,p-value,q-value,B1050328-154-CRE KP,B1050603-077-CRE KP,B1050723-021-CRE KP,B1050902-121-CRE KP,B1060202-094-CRE KP,B1060217-087-CRE KP,B1060311-004-CRE KP,B1060429-067-CRE KP,B1060522-013-CRE KP,B1060606-077-CRE KP,B1060704-084-CRE KP,B1061002-071-CRE KP,B1061025-055-CRE KP,M1050108-162-CRE KP,M1050123-092-CRE KP,M1050128-177-CRE KP,M1050314-245-CRE KP,M1050420-111-CRE KP,M1050501-018-CRE KP,M1050824-079-CRE KP,M1050926-240-CRE KP,M1051122-089-CRE KP,M1051223-071-CRE KP,M1051230-039-CRE KP,M1060108-042-CRE KP-2,M1060108-060-CRE KP,M1060112-033-CRE KP,M1060118-031-CRE KP,M1060123-258-CRE KP,M1060202-212-CRE KP,M1060214-012-CRE KP,M1060226-032-CRE KP,M1060314-010-CRE KP-2,M1060421-139-CRE KP,M1060522-008-CRE KP,M1060630-118-CRE KP,M1060702-055-CRE KP,M1060716-086-CRE KP,M1060723-056-CRE KP,M1060808-110-CRE KP,M1060810-148-CRE KP,M1060814-076-CRE KP,M1060815-124-CRE KP,M1060908-027-CRE KP,M1060912-032-CRE KP,M1061023-229-CRE KP,B1050119-108-non CRE KP,B1050125-102-non CRE KP,B1050219-053-non CRE KP-2,B1050414-116-non CRE KP,B1050422-104-non CRE KP,B1050429-048-non CRE KP,B1050704-185-non CRE KP-2,B1050714-125-non CRE KP,B1050802-057-non CRE KP,B1050906-127-non CRE KP-2,B1051019-050-non CRE KP,B1060117-004-non CRE KP,B1060125-048-non CRE KP,B1060125-147-non CRE KP,B1060126-056-non CRE KP,B1060126-097-non CRE KP-2,B1060216-038-non CRE KP,B1060223-006-non CRE KP-2,B1060223-082-non CRE KP,B1060310-011-non CRE KP-2,B1060320-165-non CRE KP,B1060326-068-non CRE KP,B1060402-034-non CRE KP,B1060404-034-non CRE KP,B1060406-071-non CRE KP,B1060409-035-non CRE KP,B1060413-035-non CRE KP,B1060421-102-non CRE KP,B1060422-055-non CRE KP,B1060429-096-non CRE KP-2,B1060508-118-non CRE KP,B1060510-109-non CRE KP,B1060512-043-non CRE KP,B1060518-059-non CRE KP,B1060518-100-non CRE KP,B1060910-039-non CRE KP,B1060919-032-non CRE KP,B1060923-134-non CRE KP,B1061015-054-non CRE KP,B1061021-093-non CRE KP,B1061025-014-non CRE KP,M1050120-162-non CRE KP,M1050401-169-non CRE KP-2,M1050912-089-non CRE KP,M1060405-181-non CRE KP-2,M1060407-138-non CRE KP,M1060410-195-non CRE KP,M1060414-167-non CRE KP-2,M1060423-047-non CRE KP
8898.698,0.358200917,0.975765831,366337.88,647334.75,339372.91,502919.97,321636.81,203613.69,0,275738.44,449404.56,351155.09,109270.18,15857.55,17195.32,455643.34,476752.28,608296.88,111275.97,460060,564970.19,589162.38,421484.84,697935.38,184463.13,284918.41,188820.08,71181.41,187750.36,208143,448128.5,431666.38,91599.64,723185,255102.44,37749,179477.97,66377.91,6168.45,0,0,0,0,273414.38,59243.95,0,0,0,56192.11,0,84123.25,0,0,115486.93,35199.19,0,0,10585424,0,10945482,0,84098.25,966104.94,0,0,85145.41,0,126282.02,0,2875248.5,0,82556.56,26445.78,0,0,50717.11,0,7882.75,56330.59,0,24598.52,0,5981751.5,0,19775.13,0,0,519181.88,0,0,202322.44,466887.63,0,76176.57,0,26228.87,7150631.5
8994.071,0.112366101,0.633297066,207372.84,894823.06,263350.69,1123552.88,1233065.75,351255.75,37977.22,545016.75,753606.75,669221.56,24331.16,0,18990.14,918037.31,1181028.38,1137193.38,33852.62,486444.91,830137.94,999296.69,1187947.75,1237586.63,87769.91,425343.28,573153.06,79791.14,317223.59,197451.77,1133794.38,196025.27,283991.63,339108.78,455962.88,68898.7,275192.72,0,23107,0,0,0,0,9578.58,0,0,0,0,0,0,7939916,0,127808.16,0,0,0,0,0,0,2908323.25,17899412,0,0,0,0,0,3449016.5,0,5361362.5,0,0,51025.15,0,0,0,0,0,0,0,0,0,0,121766.04,0,0,0,0,0,0,0,0,0,0,0,0,0,545587.69
9094.607,0.002402595,0.147259049,0,0,0,0,0,0,0,0,81446.73,0,0,0,0,0,0,0,0,0,0,71011.11,0,0,0,0,11543.4,0,0,0,0,79251.16,0,253099.73,0,0,20115.94,34622.21,0,0,0,0,0,155030,0,0,0,0,34441.75,0,216089.45,797634.44,4336055,1881196.38,7719770,7676806.5,538987.44,0,0,1173867,2990266.75,6099.95,0,0,0,0,0,0,153145.45,147944,0,0,3316448,0,0,0,0,0,69598.16,532307.5,31836.45,2264044.75,41590.77,0,613117.25,0,0,0,0,726096.63,0,66871.91,0,0,0,0,13908815
9194.688,0.821466509,1,21988.95,39727.87,0,38269.65,0,0,0,0,0,0,0,0,0,44751.17,0,0,0,0,25940.18,0,0,0,0,4454.53,0,0,0,0,5758.44,49275.09,0,140923.45,0,0,0,79074.63,0,0,0,0,0,157333.13,0,0,0,3597.19,0,153904.28,1584910.63,6219469,0,0,0,649151.75,0,0,0,36295.78,1901550.88,0,0,0,0,0,0,0,0,0,0,0,56611.42,0,0,0,0,22189.33,0,8929604,216517.44,164843.5,6113.58,0,15841.42,0,0,0,0,0,0,0,0,0,0,0,6956252
9291.488,0.35959217,0.972353093,250810.8,136778.55,0,41388.09,155181.41,36023,48326.3,472351.41,65350.43,1433698.63,418975.5,64140.5,216172.14,0,246561.22,0,65607.4,0,451758.13,486920.34,56109.37,321969.94,452687.78,0,0,23888.7,67635.95,363136.28,0,144055.78,305973.31,688096.56,0,1872109.75,156683.83,0,1229721.5,0,0,0,0,0,31741.52,3045.84,0,0,0,0,0,0,0,0,4074748.5,0,3120472,0,0,0,0,0,0,1604435.5,0,0,0,0,1560032.75,0,0,8952.14,0,0,0,0,0,0,0,0,102971.16,0,0,0,0,0,0,0,0,0,0,0,0,7846.96,0,0,668185.81
9573.135,0.49518477,0.992393457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8750.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87349.34
9836.59,0.735168601,1,0,1217003.38,0,0,0,0,0,1260779.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1184775.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300293.75,0,0,7041916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20086.37,0,6926.37,214507.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6751402.5
10080.478,0.235230543,0.823866973,196208.84,1185357.38,130517.78,394419.91,1013815.06,372855.75,92751.58,295333.41,603966.69,206039.41,17621.19,0,0,505661.28,359178.53,528699.56,11601.74,149581.14,479346.72,356120.47,290387.69,539297.44,99271.03,216745.61,333842.81,57938.61,191939.97,179540.25,661221.75,275044.56,72075.92,742243.19,388296.47,19474.22,127199.17,519760.72,3923596.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1655.49,5309.86,0,7415.87,897123.88,6189.34,0,0,103434.13,0,39920.32,0,0,174246.2,0,3927.84,0,6229.8,3414.44,471250.47,398503.5,401391.19,1599.07,0,0,21296.9,0,0,0,0,0,0,0,0,2691.6,0,1041.19,8519217
10287.756,0.436855165,1,719399.88,2768043,384472.94,1025932.63,2344453.25,1134835.75,297704.22,995385.31,605286.88,1089824.5,89168.25,0,3000.26,559586.06,955157.13,1124815.38,17544.57,270632.66,1066373.88,873035.94,914768.06,1136994.5,384958.06,400627.44,496182.44,126764.91,548023,478948.78,912051.13,415859.97,210995.61,1067076,849138.25,245162.11,156326.86,0,70272.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,752.36,0,0,3952.56,0,0,0,0,98248.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1504533.75
10639.927,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1613.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74657.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71236.77
10740.962,1,1,12525.45,0,2835.97,3386.95,0,0,0,0,0,0,0,0,0,36424.29,0,3777.21,4236.97,3077.49,7074.44,3409.02,0,9992.53,29514.64,1991.96,0,0,0,3997.81,0,26652.33,0,0,16823.93,0,0,0,0,0,0,0,0,18346.04,0,0,0,0,0,7776.72,74163.55,36404.59,8724.4,0,0,44270.54,8428.57,0,0,0,224522.44,508.41,2260.65,0,3920.27,0,1592.05,0,0,0,0,0,0,0,2729.39,0,0,0,6515.42,41423.39,0,0,134234.5,0,0,0,0,0,0,5298.53,0,0,0,0,0,0,50991.98
10764.144,0.578232468,1,0,0,0,1544.35,0,0,0,4631.06,0,0,0,0,0,0,0,0,4790.94,0,0,2835.12,0,0,0,0,0,0,0,0,0,0,0,780410.88,0,0,1398.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32306.31,0,3849.28,0,0,9284.66,0,0,35004.5,641383.69,0,0,0,0,0,0,0,0,0,0,0,0,0,20960.68,0,1449.16,0,0,0,0,0,0,0,0,0,0,0,0,17729.4,0,0,0,0,0,0,1120512.88
10914.11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4157.49
10997.13,1,1,0,0,0,0,0,0,0,0,0,12342.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4093531
