"num_cre","num_non","num_pca","method","right_pred_num","acc","right_pred_cre_num","right_pred_ncre_num","right_pred_cre_acc","right_pred_ncre_acc","method","right_pred_num","acc","right_pred_cre_num","right_pred_ncre_num","right_pred_cre_acc","right_pred_ncre_acc","method","right_pred_num","acc","right_pred_cre_num","right_pred_ncre_num","right_pred_cre_acc","right_pred_ncre_acc","method","right_pred_num","acc","right_pred_cre_num","right_pred_ncre_num","right_pred_cre_acc","right_pred_ncre_acc","method","right_pred_num","acc","right_pred_cre_num","right_pred_ncre_num","right_pred_cre_acc","right_pred_ncre_acc"
"24","24","14","LogisticRegression","37","0.770833333333333","21","16","0.875","0.666666666666667","NaiveBayes","33","0.6875","22","11","0.916666666666667","0.458333333333333","NearestNeighbors","41","0.854166666666667","22","19","0.916666666666667","0.791666666666667","RandomForest","38","0.791666666666667","20","18","0.833333333333333","0.75","SupportVectorMachine","44","0.916666666666667","23","21","0.958333333333333","0.875"
"24","24","15","LogisticRegression","35","0.729166666666667","20","15","0.833333333333333","0.625","NaiveBayes","33","0.6875","21","12","0.875","0.5","NearestNeighbors","41","0.854166666666667","21","20","0.875","0.833333333333333","RandomForest","39","0.8125","19","20","0.791666666666667","0.833333333333333","SupportVectorMachine","41","0.854166666666667","21","20","0.875","0.833333333333333"
"24","24","16","LogisticRegression","31","0.645833333333333","20","11","0.833333333333333","0.458333333333333","NaiveBayes","32","0.666666666666667","21","11","0.875","0.458333333333333","NearestNeighbors","38","0.791666666666667","22","16","0.916666666666667","0.666666666666667","RandomForest","40","0.833333333333333","20","20","0.833333333333333","0.833333333333333","SupportVectorMachine","39","0.8125","21","18","0.875","0.75"
"24","24","17","LogisticRegression","32","0.666666666666667","19","13","0.791666666666667","0.541666666666667","NaiveBayes","27","0.5625","21","6","0.875","0.25","NearestNeighbors","43","0.895833333333333","23","20","0.958333333333333","0.833333333333333","RandomForest","41","0.854166666666667","21","20","0.875","0.833333333333333","SupportVectorMachine","39","0.8125","20","19","0.833333333333333","0.791666666666667"
"24","24","18","LogisticRegression","31","0.645833333333333","17","14","0.708333333333333","0.583333333333333","NaiveBayes","30","0.625","22","8","0.916666666666667","0.333333333333333","NearestNeighbors","37","0.770833333333333","22","15","0.916666666666667","0.625","RandomForest","38","0.791666666666667","21","17","0.875","0.708333333333333","SupportVectorMachine","42","0.875","22","20","0.916666666666667","0.833333333333333"
"24","24","19","LogisticRegression","32","0.666666666666667","19","13","0.791666666666667","0.541666666666667","NaiveBayes","34","0.708333333333333","22","12","0.916666666666667","0.5","NearestNeighbors","40","0.833333333333333","22","18","0.916666666666667","0.75","RandomForest","42","0.875","21","21","0.875","0.875","SupportVectorMachine","40","0.833333333333333","20","20","0.833333333333333","0.833333333333333"
"24","24","20","LogisticRegression","33","0.6875","22","11","0.916666666666667","0.458333333333333","NaiveBayes","37","0.770833333333333","23","14","0.958333333333333","0.583333333333333","NearestNeighbors","39","0.8125","23","16","0.958333333333333","0.666666666666667","RandomForest","41","0.854166666666667","21","20","0.875","0.833333333333333","SupportVectorMachine","42","0.875","22","20","0.916666666666667","0.833333333333333"
"24","24","21","LogisticRegression","34","0.708333333333333","19","15","0.791666666666667","0.625","NaiveBayes","31","0.645833333333333","22","9","0.916666666666667","0.375","NearestNeighbors","39","0.8125","22","17","0.916666666666667","0.708333333333333","RandomForest","39","0.8125","21","18","0.875","0.75","SupportVectorMachine","42","0.875","21","21","0.875","0.875"
"24","24","22","LogisticRegression","38","0.791666666666667","21","17","0.875","0.708333333333333","NaiveBayes","32","0.666666666666667","22","10","0.916666666666667","0.416666666666667","NearestNeighbors","40","0.833333333333333","21","19","0.875","0.791666666666667","RandomForest","42","0.875","21","21","0.875","0.875","SupportVectorMachine","43","0.895833333333333","21","22","0.875","0.916666666666667"
"24","24","23","LogisticRegression","39","0.8125","23","16","0.958333333333333","0.666666666666667","NaiveBayes","31","0.645833333333333","20","11","0.833333333333333","0.458333333333333","NearestNeighbors","40","0.833333333333333","22","18","0.916666666666667","0.75","RandomForest","42","0.875","19","23","0.791666666666667","0.958333333333333","SupportVectorMachine","43","0.895833333333333","21","22","0.875","0.916666666666667"
"24","24","24","LogisticRegression","36","0.75","20","16","0.833333333333333","0.666666666666667","NaiveBayes","33","0.6875","21","12","0.875","0.5","NearestNeighbors","40","0.833333333333333","20","20","0.833333333333333","0.833333333333333","RandomForest","40","0.833333333333333","20","20","0.833333333333333","0.833333333333333","SupportVectorMachine","41","0.854166666666667","19","22","0.791666666666667","0.916666666666667"
"24","24","25","LogisticRegression","39","0.8125","21","18","0.875","0.75","NaiveBayes","35","0.729166666666667","21","14","0.875","0.583333333333333","NearestNeighbors","41","0.854166666666667","23","18","0.958333333333333","0.75","RandomForest","43","0.895833333333333","23","20","0.958333333333333","0.833333333333333","SupportVectorMachine","41","0.854166666666667","21","20","0.875","0.833333333333333"
